Duration,rainIntensityIncrement,rainIntensityIncrements,vwcIncrement,controlledLo,controlledHi,controlledRate,surfaceName,runoffToName,cdaName,etTableName,productName,capacity
5,0.0007,8,5,0,70,0.05,two,three,[None],sunny,purpleRoof,0.5

month,minutes,amc,vwc,vwcGroupBy5,vwcRow,capacitySpare,rainIntensity,intensityColumn,rain,uncontrolled,controlled,input,efficiency,absorb,runoff,retPre,hourColumn,monthRow,etRate,etMax,et,ret
1,0,0,0,0,0,0.5,0.0035,5,0.0175,0,0,0.0175,38,0.0066500000000000005,0.010850000000000002,0.0066500000000000005,0,6,0.0,0.0,0,0.0066500000000000005
1,5,0.0066500000000000005,1,0,0,0.49335,0.0035,5,0.0175,0,0,0.0175,38,0.0066500000000000005,0.010850000000000002,0.013300000000000001,0,6,0.0,0.0,0,0.013300000000000001
1,10,0.013300000000000001,2,0,0,0.4867,0.0035,5,0.0175,0,0,0.0175,38,0.0066500000000000005,0.010850000000000002,0.019950000000000002,0,6,0.0,0.0,0,0.019950000000000002
1,15,0.019950000000000002,3,0,0,0.48005,0.0035,5,0.0175,0,0,0.0175,38,0.0066500000000000005,0.010850000000000002,0.026600000000000002,0,6,0.0,0.0,0,0.026600000000000002
1,20,0.026600000000000002,5,5,1,0.4734,0.0035,5,0.0175,0,0,0.0175,42,0.007350000000000001,0.010150000000000001,0.03395,0,6,0.0,0.0,0,0.03395
1,25,0.03395,6,5,1,0.46605,0.0035,5,0.0175,0,0,0.0175,42,0.007350000000000001,0.010150000000000001,0.0413,0,6,0.0,0.0,0,0.0413
1,30,0.0413,8,5,1,0.4587,0.0035,5,0.0175,0,0,0.0175,42,0.007350000000000001,0.010150000000000001,0.048650000000000006,0,6,0.0,0.0,0,0.048650000000000006
1,35,0.048650000000000006,9,5,1,0.45135,0.0035,5,0.0175,0,0,0.0175,42,0.007350000000000001,0.010150000000000001,0.05600000000000001,0,6,0.0,0.0,0,0.05600000000000001
1,40,0.05600000000000001,11,10,2,0.444,0.0035,5,0.0175,0,0,0.0175,47,0.008225000000000001,0.009275,0.064225,0,6,0.0,0.0,0,0.064225
1,45,0.064225,12,10,2,0.435775,0.0035,5,0.0175,0,0,0.0175,47,0.008225000000000001,0.009275,0.07245,0,6,0.0,0.0,0,0.07245
